date,LG,KT,SSG,NC,두산,KIA,롯데,삼성,한화,키움
20230401,-1,1,1,1,1,-1,-1,-1,-1,1
20230402,0,0,0,0,0,0,0,0,-2,2
20230404,1,0,1,-1,1,0,-1,1,-3,1
20230405,0,0,1,0,0,0,-1,1,-3,2
20230406,1,0,1,-1,1,0,-1,0,-2,1
20230407,2,1,2,0,2,-1,-2,-1,-3,0
20230408,3,2,3,1,1,0,-3,-2,-4,-1
20230409,4,1,4,2,2,-1,-2,-3,-5,-2
20230411,3,0,5,3,3,-2,-1,-4,-4,-3
20230412,4,-1,6,4,3,-1,-2,-5,-5,-3
20230413,3,0,5,3,2,-2,-1,-4,-4,-2
20230414,4,0,6,2,1,-3,-2,-3,-4,-1
20230415,5,-1,5,3,0,-4,-1,-4,-3,0
20230416,4,0,4,4,1,-5,-2,-3,-4,1
20230418,3,1,3,5,2,-6,-1,-2,-5,0
20230419,4,2,2,4,1,-5,-2,-1,-4,-1
20230420,5,1,3,3,2,-6,-1,-2,-5,0
20230421,6,0,4,2,3,-5,0,-3,-6,-1
20230422,7,-1,5,1,4,-4,1,-4,-7,-2
20230423,6,-1,6,0,4,-3,2,-5,-6,-3
20230425,7,-2,5,1,4,-4,2,-5,-6,-2
20230426,6,-3,6,0,3,-3,3,-4,-7,-1
20230427,7,-4,5,-1,2,-2,4,-3,-8,0
20230428,6,-5,6,0,1,-1,5,-2,-9,-1
20230429,5,-6,7,1,0,0,5,-1,-10,-1
20230430,4,-7,6,2,1,1,6,0,-11,-2
20230502,5,-6,5,1,2,0,7,-1,-12,-1
20230503,6,-7,6,0,1,1,6,-2,-11,0
20230504,6,-8,7,0,0,1,6,-1,-10,-1
20230505,6,-8,8,0,0,1,6,-1,-10,-2
20230506,6,-8,9,0,0,1,6,-1,-10,-3
20230507,7,-9,10,0,-1,1,6,-1,-9,-4
20230509,8,-10,9,1,0,2,5,0,-10,-5
20230510,7,-11,10,2,-1,1,6,-1,-9,-4
20230511,8,-12,11,3,-2,0,7,-2,-8,-5
20230512,7,-11,10,2,-1,-1,6,-1,-7,-4
20230513,8,-12,11,1,0,-2,7,-2,-8,-3
20230514,9,-13,11,2,1,-3,8,-3,-8,-4
20230516,8,-12,10,3,2,-2,9,-4,-9,-5
20230517,9,-13,11,2,3,-1,8,-5,-8,-6
20230518,10,-14,11,2,2,-1,9,-5,-9,-5
20230519,11,-13,10,1,1,0,10,-4,-10,-6
20230520,11,-14,11,2,2,1,9,-5,-10,-7
20230521,12,-13,12,1,1,0,8,-4,-11,-6
20230523,13,-14,11,0,2,-1,9,-5,-10,-5
20230524,12,-13,12,1,1,0,8,-4,-11,-6
20230525,13,-12,11,0,2,-1,9,-5,-10,-7
20230526,14,-11,12,1,1,-2,10,-6,-11,-8
20230527,13,-10,12,0,1,-1,11,-7,-10,-9
20230528,14,-11,12,0,1,-2,10,-6,-10,-8
20230530,15,-12,13,1,0,-1,9,-7,-9,-9
20230531,14,-13,12,0,1,0,10,-6,-10,-8
20230601,15,-13,13,0,1,0,9,-7,-9,-9
20230602,14,-14,14,1,2,-1,10,-6,-10,-10
20230603,13,-13,15,2,1,-2,11,-5,-11,-11
20230604,12,-12,14,3,0,-1,10,-6,-10,-10
20230606,13,-11,15,2,1,-2,9,-5,-11,-11
20230607,13,-10,16,3,2,-3,8,-6,-12,-11
20230608,12,-9,17,4,3,-4,7,-7,-13,-10
20230609,11,-8,16,5,2,-3,8,-8,-12,-11
20230610,10,-9,15,6,1,-2,7,-7,-11,-10
20230611,11,-10,14,7,2,-3,6,-6,-12,-9
20230613,12,-11,15,6,3,-4,7,-7,-13,-8
20230614,13,-10,14,7,2,-5,6,-8,-12,-7
20230615,14,-9,13,8,1,-4,5,-9,-11,-8
20230616,15,-8,14,7,0,-3,4,-10,-11,-8
20230617,14,-7,15,8,1,-4,3,-11,-12,-7
20230618,15,-8,14,8,0,-4,4,-10,-13,-6
20230620,14,-7,15,9,-1,-3,3,-11,-14,-5
20230621,15,-6,16,8,-2,-4,2,-12,-13,-4
20230622,16,-5,17,7,-3,-5,1,-13,-12,-3
20230623,15,-4,18,6,-2,-6,2,-14,-11,-4
20230624,16,-5,19,5,-3,-5,1,-15,-10,-3
20230625,17,-5,18,5,-2,-5,0,-14,-10,-4
20230627,18,-6,17,4,-1,-6,1,-15,-9,-3
20230628,19,-7,16,5,-2,-7,2,-16,-8,-2
20230630,20,-6,17,4,-3,-8,3,-17,-7,-3
20230701,19,-5,16,3,-2,-7,2,-18,-6,-2
20230702,20,-4,17,2,-1,-8,1,-17,-7,-3
20230704,20,-4,17,1,0,-8,1,-18,-7,-2
20230705,19,-3,16,0,1,-7,0,-19,-6,-1
20230706,20,-4,15,1,2,-6,1,-20,-7,-2
20230707,20,-5,15,1,3,-5,1,-20,-7,-3
20230708,21,-6,16,0,4,-4,0,-19,-8,-4
20230709,20,-7,15,-1,5,-3,1,-18,-7,-5
20230711,20,-6,15,-1,5,-3,1,-18,-7,-6
20230712,19,-5,14,0,6,-2,0,-19,-6,-7
20230713,19,-4,14,1,6,-3,-1,-18,-6,-8
20230721,18,-3,15,2,7,-4,0,-19,-7,-9
20230722,18,-4,15,3,7,-4,-1,-18,-8,-8
20230723,18,-3,15,3,7,-4,-2,-19,-8,-7
20230725,17,-2,14,4,8,-5,-3,-18,-7,-8
20230726,16,-1,15,3,7,-4,-2,-19,-6,-9
20230727,17,-2,14,4,6,-5,-1,-18,-7,-8
20230728,18,-1,13,3,5,-4,-2,-18,-6,-8
20230729,19,0,14,2,4,-3,-3,-17,-7,-9
20230730,20,1,15,1,3,-2,-4,-16,-8,-10
20230801,21,2,14,2,4,-1,-5,-17,-9,-11
20230802,22,3,13,1,5,-2,-4,-16,-10,-12
20230803,23,4,12,2,4,-1,-5,-17,-9,-13
20230804,22,5,13,3,3,0,-6,-16,-10,-14
20230805,21,4,14,4,4,1,-7,-15,-11,-15
20230806,22,5,13,5,3,1,-6,-16,-11,-16
20230808,22,6,12,6,4,1,-5,-17,-12,-17
20230809,23,7,13,5,3,0,-6,-16,-13,-16
20230810,23,7,13,5,3,0,-5,-16,-13,-17
20230811,24,6,12,6,4,-1,-4,-15,-14,-18
20230812,25,7,13,5,3,0,-5,-16,-13,-19
20230813,26,8,14,4,2,-1,-4,-17,-12,-20
20230815,25,9,13,4,1,-2,-3,-16,-12,-19
20230816,26,10,12,3,0,-1,-2,-17,-11,-20
20230817,25,11,11,4,-1,0,-1,-16,-12,-21
20230818,26,10,10,4,-1,-1,-2,-15,-11,-20
20230819,27,11,9,3,0,0,-3,-16,-12,-19
20230820,26,12,10,4,-1,-1,-4,-15,-13,-18
20230822,26,13,10,4,0,-2,-4,-14,-14,-19
20230823,26,13,10,4,1,-2,-4,-14,-14,-20
20230824,27,12,11,3,2,-1,-5,-14,-14,-21
20230825,26,13,10,4,3,0,-6,-15,-15,-20
20230826,25,14,11,5,2,1,-7,-14,-16,-21
20230827,24,15,12,6,1,2,-8,-13,-17,-22
20230830,24,15,13,6,1,2,-8,-13,-17,-23
20230831,25,16,12,5,0,3,-7,-14,-18,-22
20230901,26,15,11,6,0,4,-7,-15,-19,-21
20230902,25,14,10,7,0,5,-7,-16,-18,-20
20230903,24,13,9,6,1,6,-8,-15,-17,-19
20230904,24,13,9,6,0,6,-7,-15,-17,-19
20230905,25,12,10,7,0,6,-6,-16,-18,-20
20230906,24,13,9,8,-1,7,-7,-15,-17,-21
20230907,25,12,8,9,0,6,-6,-16,-16,-22
20230908,26,13,7,10,1,5,-7,-17,-15,-23
20230909,24,13,7,10,1,7,-7,-17,-13,-25
20230910,23,12,8,11,2,8,-8,-18,-12,-26
20230912,23,13,7,12,3,7,-9,-17,-13,-26
20230913,23,14,7,11,3,6,-8,-17,-13,-26
20230914,23,13,6,11,4,6,-8,-16,-13,-26
20230915,24,13,6,12,5,5,-7,-17,-14,-27
20230916,25,13,5,12,5,5,-7,-17,-14,-27
20230917,27,15,3,12,6,4,-6,-18,-16,-27
20230918,27,14,3,12,7,3,-6,-18,-15,-27
20230919,28,15,4,13,6,2,-7,-19,-16,-26
20230921,29,16,3,12,7,1,-8,-20,-15,-25
20230922,28,15,2,13,8,2,-7,-21,-16,-24
20230923,29,16,3,12,9,1,-8,-21,-17,-24
20230924,30,17,2,13,8,0,-7,-21,-18,-24
20230926,30,17,2,12,8,1,-7,-21,-18,-24
20230927,32,15,3,12,7,1,-7,-21,-18,-24
20230928,31,15,2,13,7,0,-6,-20,-19,-23
20230929,30,15,2,13,8,1,-5,-20,-20,-24
20230930,29,15,3,12,9,0,-5,-19,-20,-24
20231001,30,16,4,11,8,-1,-4,-20,-19,-25
20231002,31,15,4,10,9,-1,-6,-18,-18,-26
20231003,31,14,5,9,8,0,-5,-19,-18,-25
20231004,32,14,6,8,8,0,-6,-20,-17,-25
20231005,33,15,7,7,8,-1,-7,-19,-18,-25
20231006,32,14,8,7,8,0,-7,-18,-19,-25
20231007,31,15,7,8,7,0,-6,-18,-20,-24
20231008,31,16,8,7,8,1,-7,-19,-21,-24
20231009,30,16,8,8,8,2,-6,-20,-22,-24
20231010,31,17,9,9,7,1,-7,-21,-23,-23
20231011,31,17,9,9,6,2,-6,-21,-23,-24
20231012,31,17,9,8,7,3,-7,-21,-23,-24
20231013,30,17,10,9,8,2,-7,-21,-23,-25
20231014,29,17,9,9,9,2,-8,-20,-22,-25
20231015,30,17,9,10,8,2,-9,-21,-21,-25
20231016,30,17,10,9,7,3,-8,-21,-22,-25
20231017,30,17,11,8,6,4,-8,-21,-22,-25
