games,LG,KT,SSG,NC,두산,KIA,롯데,삼성,한화,키움
1,-1,1,1,1,1,-1,-1,-1,-1,1
2,0,0,0,0,0,0,0,0,-2,2
3,1,1,1,-1,1,-1,-1,1,-3,1
4,0,2,2,0,0,0,-2,0,-2,2
5,1,1,3,-1,1,-1,-3,-1,-3,1
6,2,0,4,0,2,-2,-2,-2,-4,0
7,3,-1,5,1,1,-1,-1,-3,-5,-1
8,4,0,6,2,2,-2,-2,-4,-4,-2
9,3,0,5,3,3,-3,-1,-5,-5,-3
10,4,-1,6,4,2,-4,-2,-4,-4,-2
11,3,0,5,3,1,-5,-1,-3,-4,-1
12,4,1,4,2,0,-6,-2,-4,-3,0
13,5,2,3,3,1,-5,-1,-3,-4,1
14,4,1,2,4,2,-6,-2,-2,-5,0
15,3,0,3,5,1,-5,-1,-1,-4,-1
16,4,-1,4,4,2,-4,0,-2,-5,0
17,5,-1,5,3,3,-3,1,-3,-6,-1
18,6,-2,6,2,4,-4,2,-4,-7,-2
19,7,-3,5,1,4,-3,3,-5,-6,-3
20,6,-4,6,0,3,-2,4,-4,-7,-2
21,7,-5,5,1,2,-1,5,-3,-8,-1
22,6,-6,6,0,1,0,6,-2,-9,0
23,7,-7,7,-1,0,1,7,-1,-10,-1
24,6,-6,6,0,1,0,6,0,-11,-2
25,5,-7,5,1,2,1,5,-1,-12,-1
26,4,-8,6,2,1,2,6,-2,-11,0
27,5,-9,7,1,0,1,7,-1,-10,-1
28,6,-10,8,0,-1,0,6,0,-9,-2
29,7,-11,9,1,0,-1,7,-1,-10,-3
30,8,-12,10,2,-1,-2,8,-2,-9,-4
31,7,-11,9,3,-2,-3,9,-1,-8,-5
32,8,-12,10,2,-1,-2,8,-2,-7,-4
33,7,-13,11,1,0,-1,9,-3,-8,-5
34,8,-12,10,2,1,0,10,-4,-8,-4
35,9,-13,11,3,2,1,9,-5,-9,-3
36,8,-14,11,2,3,0,8,-4,-8,-4
37,9,-13,10,1,2,-1,9,-5,-9,-5
38,10,-14,11,2,1,0,8,-4,-10,-6
39,11,-13,10,1,2,-1,9,-5,-10,-5
40,11,-14,11,0,1,-2,10,-4,-11,-6
41,12,-13,12,1,2,-1,11,-5,-10,-7
42,13,-12,11,0,1,-2,10,-6,-11,-6
43,12,-11,12,1,2,-1,9,-7,-10,-5
44,13,-10,11,0,1,0,10,-6,-11,-6
45,14,-11,12,1,0,-1,9,-7,-10,-7
46,13,-12,13,0,1,-2,10,-6,-9,-8
47,14,-13,12,1,2,-1,11,-7,-10,-9
48,15,-14,13,2,1,-2,10,-6,-9,-8
49,14,-13,14,3,0,-3,9,-5,-10,-9
50,15,-12,15,2,1,-4,8,-6,-11,-8
51,14,-11,14,3,2,-3,7,-5,-10,-9
52,13,-10,15,4,3,-2,8,-6,-11,-10
53,12,-9,16,5,2,-3,7,-7,-12,-11
54,13,-8,17,6,1,-4,6,-8,-13,-10
55,13,-9,16,7,2,-5,7,-7,-12,-11
56,12,-10,15,6,3,-4,6,-6,-11,-11
57,11,-11,14,7,2,-3,5,-7,-12,-10
58,10,-10,15,8,1,-4,4,-8,-13,-11
59,11,-9,14,7,0,-4,3,-9,-12,-10
60,12,-8,13,8,1,-3,4,-10,-11,-9
61,13,-7,14,8,0,-4,3,-11,-11,-8
62,14,-8,15,9,-1,-5,2,-10,-12,-7
63,15,-7,14,8,-2,-6,1,-11,-13,-8
64,14,-6,15,7,-3,-5,2,-12,-14,-8
65,15,-5,16,6,-2,-6,1,-13,-13,-7
66,14,-4,17,5,-3,-7,0,-14,-12,-6
67,15,-5,18,4,-2,-8,1,-15,-11,-5
68,16,-6,19,5,-1,-7,2,-14,-10,-4
69,15,-7,18,4,-2,-8,3,-15,-9,-3
70,16,-6,17,3,-3,-7,2,-16,-8,-4
71,17,-5,16,2,-2,-6,1,-17,-7,-3
72,18,-4,17,1,-1,-5,0,-18,-6,-4
73,19,-3,16,0,0,-4,1,-17,-7,-3
74,20,-4,17,1,1,-3,0,-18,-6,-2
75,19,-5,16,0,2,-2,1,-19,-7,-3
76,20,-6,15,-1,3,-3,0,-20,-8,-2
