games,LG,KT,SSG,NC,두산,KIA,롯데,삼성,한화,키움
1,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000
2,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.000,1.000
3,0.667,0.667,0.667,0.333,0.667,0.333,0.333,0.667,0.000,0.667
4,0.500,0.750,0.750,0.500,0.500,0.500,0.250,0.500,0.250,0.750
5,0.600,0.600,0.800,0.400,0.600,0.400,0.200,0.400,0.200,0.600
6,0.667,0.500,0.833,0.500,0.667,0.333,0.333,0.333,0.167,0.500
7,0.714,0.429,0.857,0.571,0.571,0.429,0.429,0.286,0.143,0.429
8,0.750,0.500,0.875,0.625,0.625,0.375,0.375,0.250,0.250,0.375
9,0.667,0.500,0.778,0.667,0.667,0.333,0.444,0.222,0.222,0.333
10,0.700,0.444,0.800,0.700,0.600,0.300,0.400,0.300,0.300,0.400
11,0.636,0.500,0.727,0.636,0.545,0.273,0.455,0.364,0.300,0.455
12,0.667,0.545,0.667,0.583,0.500,0.250,0.417,0.333,0.364,0.500
13,0.692,0.583,0.615,0.615,0.538,0.308,0.462,0.385,0.333,0.538
14,0.643,0.538,0.571,0.643,0.571,0.286,0.429,0.429,0.308,0.500
15,0.600,0.500,0.600,0.667,0.533,0.333,0.467,0.467,0.357,0.467
16,0.625,0.467,0.625,0.625,0.562,0.375,0.500,0.438,0.333,0.500
17,0.647,0.467,0.647,0.588,0.588,0.412,0.529,0.412,0.312,0.471
18,0.667,0.438,0.667,0.556,0.611,0.389,0.556,0.389,0.294,0.444
19,0.684,0.412,0.632,0.526,0.611,0.421,0.579,0.368,0.333,0.421
20,0.650,0.389,0.650,0.500,0.579,0.450,0.600,0.400,0.316,0.450
21,0.667,0.368,0.619,0.524,0.550,0.476,0.619,0.429,0.300,0.476
22,0.636,0.350,0.636,0.500,0.524,0.500,0.636,0.455,0.286,0.500
23,0.652,0.333,0.652,0.478,0.500,0.522,0.652,0.478,0.273,0.478
24,0.625,0.364,0.625,0.500,0.522,0.500,0.625,0.500,0.261,0.458
25,0.600,0.348,0.600,0.520,0.542,0.520,0.600,0.480,0.250,0.480
26,0.577,0.333,0.615,0.538,0.520,0.538,0.615,0.462,0.280,0.500
27,0.593,0.320,0.630,0.519,0.500,0.519,0.630,0.481,0.308,0.481
28,0.607,0.308,0.643,0.500,0.481,0.500,0.607,0.500,0.333,0.464
29,0.621,0.296,0.655,0.517,0.500,0.483,0.621,0.483,0.321,0.448
30,0.633,0.286,0.667,0.533,0.483,0.467,0.633,0.467,0.345,0.433
31,0.613,0.310,0.645,0.548,0.467,0.452,0.645,0.484,0.367,0.419
32,0.625,0.300,0.656,0.531,0.484,0.469,0.625,0.469,0.387,0.438
33,0.606,0.290,0.667,0.515,0.500,0.485,0.636,0.455,0.375,0.424
34,0.618,0.312,0.647,0.529,0.515,0.500,0.647,0.441,0.375,0.441
35,0.629,0.303,0.657,0.543,0.529,0.514,0.629,0.429,0.364,0.457
36,0.611,0.294,0.657,0.528,0.543,0.500,0.611,0.444,0.382,0.444
37,0.622,0.314,0.639,0.514,0.528,0.486,0.622,0.432,0.371,0.432
38,0.632,0.306,0.649,0.526,0.514,0.500,0.605,0.447,0.361,0.421
39,0.641,0.324,0.632,0.513,0.526,0.487,0.615,0.436,0.361,0.436
40,0.641,0.316,0.641,0.500,0.513,0.475,0.625,0.450,0.351,0.425
41,0.650,0.333,0.650,0.512,0.525,0.488,0.634,0.439,0.368,0.415
42,0.659,0.350,0.634,0.500,0.512,0.476,0.619,0.429,0.359,0.429
43,0.643,0.366,0.643,0.512,0.524,0.488,0.605,0.419,0.375,0.442
44,0.651,0.381,0.628,0.500,0.512,0.500,0.614,0.432,0.366,0.432
45,0.659,0.372,0.636,0.511,0.500,0.489,0.600,0.422,0.381,0.422
46,0.644,0.364,0.644,0.500,0.511,0.478,0.609,0.435,0.395,0.413
47,0.652,0.356,0.630,0.511,0.522,0.489,0.617,0.426,0.386,0.404
48,0.660,0.348,0.638,0.521,0.511,0.479,0.604,0.438,0.400,0.417
49,0.646,0.362,0.646,0.531,0.500,0.469,0.592,0.449,0.391,0.408
50,0.653,0.375,0.653,0.520,0.510,0.460,0.580,0.440,0.383,0.420
51,0.640,0.388,0.640,0.529,0.520,0.471,0.569,0.451,0.396,0.412
52,0.627,0.400,0.647,0.538,0.529,0.481,0.577,0.442,0.388,0.404
53,0.615,0.412,0.654,0.547,0.519,0.472,0.566,0.434,0.380,0.396
54,0.623,0.423,0.660,0.556,0.509,0.463,0.556,0.426,0.373,0.407
55,0.623,0.415,0.648,0.564,0.519,0.455,0.564,0.436,0.385,0.400
