date,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움
20240323,1,1,1,-1,-1,1,-1,-1,1,-1
20240324,1,2,0,0,-2,2,-2,0,0,-1
20240326,2,1,1,1,-3,1,-3,1,1,-2
20240327,3,1,1,2,-4,0,-4,2,2,-3
20240328,3,0,2,1,-3,-1,-4,3,2,-3
20240329,4,-1,3,0,-4,0,-3,4,1,-4
20240330,3,-2,2,1,-5,1,-4,5,2,-3
20240331,4,-3,1,0,-6,2,-5,6,3,-2
20240402,3,-4,0,-1,-5,3,-4,5,4,-1
20240403,4,-4,1,-2,-6,4,-4,5,3,-1
20240404,5,-5,2,-3,-7,5,-5,6,2,0
20240405,6,-6,1,-2,-6,4,-6,5,3,1
20240406,5,-5,2,-3,-7,3,-5,4,4,2
20240407,4,-4,3,-4,-8,2,-4,3,5,3
20240409,5,-3,2,-3,-7,3,-5,2,4,2
20240410,6,-2,1,-2,-8,4,-6,1,5,1
20240411,7,-1,0,-3,-9,3,-7,2,6,2
20240412,8,-2,1,-4,-8,2,-8,1,7,3
20240413,9,-3,0,-3,-9,3,-9,0,8,4
20240414,10,-2,-1,-2,-10,4,-10,-1,7,5
20240416,9,-1,0,-3,-11,5,-11,0,6,6
20240417,10,0,1,-4,-10,4,-12,-1,7,5
20240418,9,1,0,-5,-9,5,-11,-1,7,4
20240419,10,0,1,-4,-10,4,-10,0,6,3
20240420,11,1,1,-4,-10,4,-10,-1,5,3
20240421,10,2,2,-4,-11,3,-9,-2,6,3
20240423,11,3,1,-3,-10,3,-9,-3,5,2
20240424,12,4,0,-4,-9,4,-10,-4,6,1
20240425,13,3,1,-3,-8,3,-9,-5,5,0
20240426,12,4,2,-2,-9,4,-10,-6,6,-1
20240427,11,5,3,-3,-8,3,-11,-5,7,-2
20240428,12,6,2,-2,-9,4,-12,-6,8,-3
20240430,11,5,1,-1,-8,3,-13,-5,9,-2
20240501,12,6,2,-2,-9,4,-14,-6,8,-1
20240502,11,7,3,-3,-8,5,-13,-7,7,-2
20240503,10,6,2,-2,-7,4,-12,-6,8,-3
20240504,11,5,1,-1,-6,3,-11,-7,9,-4
20240507,11,5,0,0,-6,4,-11,-7,9,-5
20240508,12,4,1,1,-5,3,-10,-8,8,-6
20240509,11,5,2,2,-4,2,-9,-9,7,-7
20240510,10,4,3,3,-5,3,-10,-8,8,-8
20240511,10,5,4,3,-5,3,-11,-9,7,-7
20240512,10,6,5,5,-7,3,-12,-8,6,-8
20240514,9,5,4,6,-6,4,-13,-8,6,-7
20240515,10,5,4,5,-6,4,-13,-9,7,-7
20240516,10,6,3,5,-7,3,-12,-10,8,-6
20240517,11,7,4,4,-8,4,-11,-11,7,-7
20240518,12,8,5,5,-9,5,-12,-12,6,-8
20240519,13,7,4,5,-8,4,-12,-11,5,-7
20240521,12,6,3,6,-7,3,-11,-10,6,-8
20240522,11,7,2,7,-8,2,-10,-9,7,-9
20240523,10,6,3,8,-7,1,-9,-10,6,-8
20240524,9,7,4,9,-6,0,-10,-9,5,-9
20240525,10,6,5,8,-5,-1,-9,-8,4,-10
20240526,11,5,6,7,-5,-1,-8,-8,3,-10
20240528,12,4,7,6,-4,-2,-9,-7,2,-9
20240529,13,3,8,7,-5,-3,-10,-6,1,-8
20240530,14,4,7,8,-6,-2,-11,-5,0,-9
20240531,13,5,8,7,-5,-1,-10,-6,-1,-10
20240601,14,6,9,6,-6,0,-11,-7,0,-11
20240602,13,7,10,5,-5,1,-10,-8,-1,-12
20240604,12,8,9,6,-6,0,-9,-7,-2,-11
20240605,11,7,10,7,-7,1,-8,-6,-3,-12
20240606,12,6,11,8,-8,2,-9,-5,-4,-13
20240607,11,5,12,9,-9,1,-8,-6,-3,-12
