date,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움
20240323,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
20240324,1.000,1.000,0.500,0.500,0.000,1.000,0.000,0.500,0.500,0.000
20240326,1.000,0.667,0.667,0.667,0.000,0.667,0.000,0.667,0.667,0.000
20240327,1.000,0.667,0.667,0.750,0.000,0.500,0.000,0.750,0.750,0.000
20240328,1.000,0.500,0.750,0.600,0.200,0.400,0.000,0.800,0.750,0.000
20240329,1.000,0.400,0.800,0.500,0.167,0.500,0.200,0.833,0.600,0.000
20240330,0.800,0.333,0.667,0.571,0.143,0.571,0.167,0.857,0.667,0.200
20240331,0.833,0.286,0.571,0.500,0.125,0.625,0.143,0.875,0.714,0.333
20240402,0.714,0.250,0.500,0.444,0.222,0.667,0.250,0.778,0.750,0.429
20240403,0.750,0.250,0.556,0.400,0.200,0.700,0.250,0.778,0.667,0.429
20240404,0.778,0.222,0.600,0.364,0.182,0.727,0.222,0.800,0.600,0.500
20240405,0.800,0.200,0.545,0.417,0.250,0.667,0.200,0.727,0.636,0.556
20240406,0.727,0.273,0.583,0.385,0.231,0.615,0.273,0.667,0.667,0.600
20240407,0.667,0.333,0.615,0.357,0.214,0.571,0.333,0.615,0.692,0.636
20240409,0.692,0.385,0.571,0.400,0.267,0.600,0.308,0.571,0.643,0.583
20240410,0.714,0.429,0.533,0.438,0.250,0.625,0.286,0.533,0.667,0.538
20240411,0.733,0.467,0.500,0.412,0.235,0.588,0.267,0.562,0.688,0.571
20240412,0.750,0.438,0.529,0.389,0.278,0.556,0.250,0.529,0.706,0.600
20240413,0.765,0.412,0.500,0.421,0.263,0.579,0.235,0.500,0.722,0.625
20240414,0.778,0.444,0.474,0.450,0.250,0.600,0.222,0.474,0.684,0.647
20240416,0.737,0.474,0.500,0.429,0.238,0.619,0.211,0.500,0.650,0.667
20240417,0.750,0.500,0.524,0.409,0.273,0.591,0.200,0.476,0.667,0.632
20240418,0.714,0.524,0.500,0.391,0.304,0.609,0.238,0.476,0.667,0.600
20240419,0.727,0.500,0.522,0.417,0.292,0.583,0.273,0.500,0.636,0.571
20240420,0.739,0.522,0.522,0.417,0.292,0.583,0.273,0.478,0.609,0.571
20240421,0.708,0.542,0.542,0.423,0.280,0.560,0.304,0.458,0.625,0.565
20240423,0.720,0.560,0.520,0.444,0.308,0.560,0.304,0.440,0.600,0.542
20240424,0.731,0.577,0.500,0.429,0.333,0.577,0.292,0.423,0.615,0.520
20240425,0.741,0.556,0.519,0.448,0.357,0.556,0.320,0.407,0.593,0.500
20240426,0.714,0.571,0.536,0.467,0.345,0.571,0.308,0.393,0.607,0.481
20240427,0.690,0.586,0.552,0.452,0.367,0.552,0.296,0.414,0.621,0.464
20240428,0.700,0.600,0.533,0.469,0.355,0.567,0.286,0.400,0.633,0.448
20240430,0.677,0.581,0.516,0.485,0.375,0.548,0.276,0.419,0.645,0.467
20240501,0.688,0.594,0.531,0.471,0.364,0.562,0.267,0.406,0.625,0.484
20240502,0.667,0.606,0.545,0.457,0.382,0.576,0.290,0.394,0.606,0.469
20240503,0.647,0.588,0.529,0.472,0.400,0.559,0.312,0.412,0.618,0.455
20240504,0.657,0.571,0.514,0.486,0.417,0.543,0.333,0.400,0.629,0.441
20240507,0.657,0.571,0.500,0.500,0.417,0.556,0.333,0.400,0.629,0.429
20240508,0.667,0.556,0.514,0.513,0.432,0.541,0.353,0.389,0.611,0.417
20240509,0.649,0.568,0.526,0.525,0.447,0.526,0.371,0.378,0.595,0.405
20240510,0.632,0.553,0.538,0.537,0.436,0.538,0.361,0.395,0.605,0.395
20240511,0.632,0.564,0.550,0.537,0.436,0.538,0.351,0.385,0.590,0.410
20240512,0.625,0.575,0.561,0.558,0.415,0.537,0.342,0.400,0.575,0.400
20240514,0.610,0.561,0.548,0.568,0.429,0.548,0.333,0.400,0.575,0.415
20240515,0.619,0.561,0.548,0.556,0.429,0.548,0.333,0.390,0.585,0.415
20240516,0.619,0.571,0.535,0.556,0.419,0.535,0.350,0.381,0.595,0.429
20240517,0.628,0.581,0.545,0.543,0.409,0.545,0.366,0.372,0.581,0.419
20240518,0.636,0.591,0.556,0.553,0.400,0.556,0.357,0.364,0.568,0.409
20240519,0.644,0.578,0.543,0.553,0.413,0.543,0.357,0.378,0.556,0.422
20240521,0.630,0.565,0.532,0.562,0.426,0.532,0.372,0.391,0.565,0.413
20240522,0.617,0.574,0.521,0.571,0.417,0.521,0.386,0.404,0.574,0.404
20240523,0.604,0.562,0.531,0.580,0.429,0.510,0.400,0.396,0.562,0.417
20240524,0.592,0.571,0.540,0.588,0.440,0.500,0.391,0.408,0.551,0.408
20240525,0.600,0.560,0.549,0.577,0.451,0.490,0.404,0.420,0.540,0.400
20240526,0.608,0.549,0.558,0.566,0.451,0.490,0.417,0.420,0.529,0.400
20240528,0.615,0.538,0.566,0.556,0.462,0.481,0.408,0.431,0.519,0.412
20240529,0.623,0.528,0.574,0.564,0.453,0.472,0.400,0.442,0.509,0.423
20240530,0.630,0.537,0.564,0.571,0.444,0.481,0.392,0.453,0.500,0.415
20240531,0.618,0.545,0.571,0.561,0.455,0.491,0.404,0.444,0.491,0.407
20240601,0.625,0.554,0.579,0.552,0.446,0.500,0.396,0.436,0.500,0.400
20240602,0.614,0.561,0.586,0.542,0.456,0.509,0.407,0.429,0.491,0.393
20240604,0.603,0.569,0.576,0.550,0.448,0.500,0.418,0.439,0.483,0.404
20240605,0.593,0.559,0.583,0.557,0.441,0.508,0.429,0.448,0.475,0.397
20240606,0.600,0.550,0.590,0.565,0.433,0.517,0.421,0.458,0.467,0.390
20240607,0.590,0.541,0.597,0.571,0.426,0.508,0.431,0.450,0.475,0.400
20240608,0.581,0.532,0.603,0.578,0.419,0.508,0.431,0.443,0.484,0.410
20240609,0.587,0.540,0.594,0.569,0.429,0.508,0.433,0.443,0.484,0.403
20240611,0.578,0.547,0.585,0.561,0.422,0.516,0.426,0.452,0.492,0.413
20240612,0.585,0.554,0.576,0.552,0.431,0.508,0.435,0.460,0.484,0.406
20240613,0.576,0.561,0.567,0.559,0.424,0.515,0.444,0.453,0.492,0.400
20240614,0.582,0.567,0.574,0.565,0.418,0.522,0.438,0.446,0.485,0.394
20240615,0.588,0.559,0.565,0.571,0.412,0.529,0.446,0.439,0.493,0.388
20240616,0.594,0.551,0.571,0.563,0.406,0.522,0.439,0.448,0.500,0.397
20240618,0.600,0.543,0.563,0.569,0.414,0.529,0.433,0.456,0.493,0.391
20240619,0.592,0.549,0.569,0.562,0.408,0.521,0.441,0.464,0.500,0.386
20240620,0.597,0.556,0.562,0.568,0.417,0.514,0.435,0.457,0.493,0.394
20240621,0.603,0.562,0.554,0.560,0.425,0.507,0.429,0.451,0.500,0.403
20240622,0.603,0.562,0.554,0.560,0.425,0.514,0.437,0.451,0.493,0.397
20240623,0.600,0.573,0.553,0.545,0.427,0.507,0.444,0.452,0.500,0.392
20240625,0.600,0.566,0.558,0.538,0.434,0.500,0.444,0.459,0.493,0.400
20240626,0.592,0.558,0.564,0.544,0.429,0.506,0.452,0.453,0.487,0.408
20240627,0.584,0.564,0.557,0.537,0.436,0.500,0.459,0.461,0.481,0.416
20240628,0.577,0.557,0.550,0.543,0.443,0.494,0.467,0.455,0.487,0.423
20240629,0.577,0.557,0.550,0.537,0.443,0.500,0.467,0.455,0.487,0.423
20240630,0.577,0.550,0.556,0.530,0.450,0.506,0.467,0.455,0.481,0.423
20240702,0.582,0.543,0.549,0.530,0.457,0.506,0.467,0.449,0.481,0.430
20240703,0.588,0.537,0.542,0.536,0.463,0.500,0.461,0.443,0.487,0.438
20240704,0.593,0.530,0.548,0.541,0.458,0.494,0.455,0.450,0.494,0.432
20240709,0.598,0.530,0.541,0.541,0.458,0.500,0.449,0.444,0.494,0.439
20240710,0.602,0.536,0.535,0.535,0.464,0.494,0.456,0.451,0.488,0.434
20240711,0.607,0.541,0.529,0.540,0.459,0.500,0.450,0.446,0.482,0.440
20240712,0.600,0.547,0.523,0.534,0.465,0.506,0.444,0.452,0.488,0.435
20240713,0.593,0.540,0.528,0.539,0.471,0.511,0.439,0.447,0.494,0.430
20240714,0.598,0.545,0.533,0.533,0.471,0.506,0.439,0.442,0.494,0.430
20240716,0.598,0.545,0.533,0.527,0.477,0.506,0.446,0.442,0.494,0.425
20240717,0.602,0.539,0.538,0.522,0.483,0.500,0.452,0.437,0.500,0.420
20240718,0.607,0.533,0.538,0.527,0.489,0.500,0.447,0.432,0.506,0.416
