games,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움
1,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2,1.000,1.000,0.500,0.500,0.000,1.000,0.000,0.500,0.500,0.000
3,1.000,0.667,0.667,0.667,0.000,0.667,0.000,0.667,0.667,0.000
4,1.000,0.667,0.667,0.750,0.000,0.500,0.000,0.750,0.750,0.000
5,0.800,0.500,0.750,0.600,0.200,0.400,0.200,0.800,0.600,0.200
6,0.833,0.400,0.800,0.500,0.167,0.500,0.167,0.833,0.667,0.333
7,0.714,0.333,0.667,0.571,0.143,0.571,0.143,0.857,0.714,0.429
8,0.750,0.286,0.571,0.500,0.125,0.625,0.250,0.875,0.750,0.500
9,0.778,0.250,0.500,0.444,0.222,0.667,0.222,0.778,0.667,0.556
10,0.800,0.222,0.556,0.400,0.200,0.700,0.200,0.800,0.600,0.600
11,0.727,0.200,0.600,0.364,0.182,0.727,0.273,0.727,0.636,0.636
12,0.667,0.273,0.545,0.417,0.250,0.667,0.333,0.667,0.667,0.583
13,0.692,0.333,0.583,0.385,0.231,0.615,0.308,0.615,0.692,0.538
14,0.714,0.385,0.615,0.357,0.214,0.571,0.286,0.571,0.643,0.571
15,0.733,0.429,0.571,0.400,0.267,0.600,0.267,0.533,0.667,0.600
16,0.750,0.467,0.533,0.438,0.250,0.625,0.250,0.562,0.688,0.625
17,0.765,0.438,0.500,0.412,0.235,0.588,0.235,0.529,0.706,0.647
18,0.778,0.412,0.529,0.389,0.278,0.556,0.222,0.500,0.722,0.667
19,0.737,0.444,0.500,0.421,0.263,0.579,0.211,0.474,0.684,0.632
20,0.750,0.474,0.474,0.450,0.250,0.600,0.200,0.500,0.650,0.600
21,0.714,0.500,0.500,0.429,0.238,0.619,0.238,0.476,0.667,0.571
22,0.727,0.524,0.524,0.409,0.273,0.591,0.273,0.500,0.636,0.591
23,0.739,0.500,0.500,0.391,0.304,0.609,0.273,0.478,0.609,0.565
24,0.708,0.522,0.522,0.417,0.292,0.583,0.304,0.458,0.625,0.542
25,0.720,0.542,0.542,0.400,0.292,0.560,0.292,0.440,0.600,0.520
26,0.731,0.560,0.542,0.423,0.280,0.560,0.320,0.423,0.615,0.500
27,0.741,0.577,0.520,0.444,0.308,0.577,0.308,0.407,0.593,0.481
28,0.714,0.556,0.500,0.429,0.333,0.556,0.296,0.393,0.607,0.464
29,0.690,0.571,0.519,0.448,0.357,0.571,0.286,0.414,0.621,0.448
30,0.700,0.586,0.536,0.467,0.345,0.552,0.276,0.400,0.633,0.467
31,0.677,0.600,0.552,0.452,0.367,0.567,0.267,0.419,0.645,0.484
32,0.688,0.581,0.533,0.469,0.355,0.548,0.290,0.406,0.625,0.469
33,0.667,0.594,0.516,0.485,0.375,0.562,0.312,0.394,0.606,0.455
34,0.647,0.606,0.531,0.471,0.364,0.576,0.333,0.412,0.618,0.441
35,0.657,0.588,0.545,0.457,0.382,0.559,0.353,0.400,0.629,0.429
36,0.667,0.571,0.529,0.472,0.400,0.543,0.371,0.389,0.611,0.417
37,0.649,0.556,0.514,0.486,0.417,0.556,0.361,0.378,0.595,0.405
38,0.632,0.568,0.500,0.500,0.432,0.541,0.351,0.395,0.605,0.395
39,0.641,0.553,0.514,0.513,0.447,0.526,0.342,0.385,0.590,0.410
40,0.625,0.564,0.526,0.525,0.436,0.538,0.333,0.400,0.575,0.400
