games,LG,한화,롯데,SSG,KIA,KT,NC,삼성,두산,키움
1,1,1,-1,1,1,-1,-1,1,-1,-1
2,2,0,-2,2,0,0,0,2,-2,-2
3,3,-1,-1,1,1,1,-1,3,-3,-3
4,4,-2,-2,2,0,0,0,2,-2,-2
5,5,-3,-3,3,-1,1,1,1,-3,-1
6,6,-2,-4,2,-2,2,0,0,-2,0
7,7,-1,-3,1,-3,1,-1,1,-3,1
8,6,-2,-3,2,-2,1,-2,2,-4,0
9,7,-3,-2,3,-3,2,-1,3,-3,-1
10,8,-4,-1,4,-2,1,0,2,-2,-2
11,9,-5,-2,3,-3,0,-1,3,-1,-1
12,10,-4,-1,4,-4,-1,-2,2,-2,-2
13,9,-5,-2,3,-3,0,-1,3,-1,-3
14,10,-6,-3,4,-2,1,-2,4,0,-4
15,11,-5,-4,3,-3,0,-3,3,-1,-3
16,12,-4,-3,2,-4,1,-2,4,-2,-4
17,11,-3,-2,1,-3,2,-3,3,-3,-5
18,12,-4,-1,0,-2,1,-4,2,-4,-4
19,13,-3,-2,-1,-3,2,-5,1,-3,-5
20,12,-2,-1,-2,-2,1,-4,0,-2,-6
21,13,-1,0,-1,-3,0,-5,1,-3,-7
22,14,0,1,-2,-2,1,-4,0,-4,-8
23,13,1,2,-1,-1,2,-5,1,-5,-7
24,12,2,1,0,-2,3,-6,0,-4,-8
25,13,3,2,1,-3,2,-7,1,-3,-9
26,12,4,1,0,-4,1,-8,2,-4,-8
27,13,3,2,-1,-3,2,-7,3,-5,-9
28,12,2,3,-2,-2,1,-8,4,-4,-10
29,11,3,4,-2,-1,0,-7,5,-5,-11
30,10,4,3,-1,-2,1,-6,6,-6,-10
31,9,5,4,0,-3,2,-5,6,-6,-9
32,8,6,5,-1,-4,2,-4,5,-7,-10
33,9,7,6,-2,-3,1,-3,6,-6,-11
34,10,8,7,-1,-2,2,-3,5,-5,-12
35,9,9,6,-2,-3,3,-2,4,-4,-11
36,10,10,5,-3,-2,2,-1,3,-5,-12
37,9,11,4,-4,-3,1,-2,2,-4,-13
38,10,12,5,-3,-4,0,-1,1,-4,-14
39,11,13,6,-2,-3,-1,-2,0,-5,-15
40,12,14,7,-1,-4,-1,-1,-1,-6,-14
41,13,13,7,-2,-3,-2,-2,-2,-5,-15
42,14,12,8,-1,-2,-3,-1,-1,-4,-16
43,15,11,7,-2,-1,-2,-2,-2,-3,-17
44,14,12,8,-1,0,-3,-1,-1,-4,-18
45,13,11,7,0,-1,-2,0,-2,-5,-19
46,14,10,8,1,-2,-1,0,-3,-6,-20
47,15,11,9,2,-1,-2,1,-4,-7,-21
48,15,10,10,1,0,-1,0,-3,-8,-20
49,14,9,9,0,-1,0,0,-2,-7,-21
50,15,10,9,1,-2,-1,-1,-1,-7,-22
51,14,9,10,0,-1,0,-2,-2,-8,-23
52,15,10,9,0,0,1,-3,-1,-7,-24
53,16,9,10,1,0,2,-4,0,-8,-25
54,15,10,9,2,-1,3,-3,1,-7,-26
55,16,9,8,1,-2,2,-4,2,-8,-27
56,15,10,7,2,-1,3,-3,3,-7,-28
57,14,11,8,3,0,4,-4,4,-8,-29
58,13,10,7,4,1,5,-5,5,-9,-29
59,14,11,6,5,0,4,-4,4,-10,-30
60,13,12,7,4,1,3,-5,3,-11,-29
61,14,11,6,3,0,2,-5,4,-10,-28
62,13,10,5,2,1,3,-4,5,-9,-29
63,12,11,4,3,0,4,-3,4,-10,-28
64,13,10,5,4,1,5,-2,5,-11,-27
65,12,11,6,3,0,4,-3,6,-12,-26
66,13,12,5,2,-1,5,-4,5,-13,-25
67,14,13,6,1,0,4,-3,6,-14,-26
68,14,13,7,2,1,3,-4,5,-13,-26
69,13,14,8,3,2,4,-3,4,-12,-27
70,12,15,7,2,3,5,-4,5,-13,-28
71,13,14,6,3,4,4,-3,6,-14,-29
72,12,13,7,3,4,3,-2,5,-13,-30
73,11,14,8,2,5,2,-3,4,-12,-31
74,12,13,9,1,4,3,-2,3,-13,-30
75,11,14,10,2,5,2,-1,4,-12,-31
76,12,13,9,3,5,3,-2,3,-13,-32
77,13,14,10,2,4,2,-3,2,-14,-31
78,12,13,9,3,5,3,-2,1,-15,-32
79,11,14,8,2,6,4,-2,0,-14,-32
80,12,13,9,3,7,3,-3,1,-15,-31
81,11,13,8,2,6,2,-4,0,-14,-30
82,10,14,9,3,7,3,-3,1,-15,-29
83,9,15,10,4,8,4,-2,2,-16,-28
84,8,16,9,3,9,5,-1,3,-15,-29
85,9,17,8,4,8,4,0,2,-14,-30
86,10,18,9,3,7,3,-1,1,-13,-31
87,11,19,8,2,6,2,-2,0,-14,-32
88,10,20,9,1,5,3,-3,-1,-13,-33
89,11,21,8,0,6,4,-4,0,-12,-34
90,10,22,7,-1,5,3,-3,1,-11,-35
91,11,23,8,-2,4,2,-2,2,-12,-34
92,12,22,7,-1,3,1,-1,1,-11,-35
93,13,22,6,-2,2,2,-2,0,-11,-34
94,14,23,7,-1,1,3,-1,1,-12,-35
95,15,22,8,0,0,4,-2,0,-13,-36
96,16,21,9,1,-1,5,-1,1,-12,-37
97,15,20,10,1,-1,4,0,0,-11,-38
98,16,21,11,2,0,5,0,-1,-11,-39
99,17,22,12,3,1,4,-1,-2,-12,-40
100,18,21,11,2,2,3,-2,-3,-13,-40
101,19,20,12,3,1,2,-3,-4,-12,-41
102,20,21,11,2,2,1,-2,-3,-13,-40
103,21,20,12,3,1,0,-1,-4,-14,-41
104,22,19,13,2,0,0,0,-3,-13,-42
105,21,18,12,3,1,1,,-2,-14,-41
106,22,19,13,4,2,0,,-3,-13,-40
107,23,20,12,5,,1,,-4,-12,-39
108,24,21,11,4,,0,,-5,-13,-40
109,23,,10,,,1,,-6,-14,-41
110,24,,9,,,2,,,,-40
111,,,8,,,1,,,,-41
112,,,,,,,,,,-40
