date,LG,한화,롯데,SSG,KIA,KT,NC,삼성,두산,키움
20250322,1.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000
20250323,1.000,0.500,0.000,1.000,0.500,0.500,0.500,1.000,0.000,0.000
20250325,1.000,0.333,0.333,0.667,0.667,0.667,0.333,1.000,0.000,0.000
20250326,1.000,0.250,0.250,0.750,0.500,0.500,0.500,0.750,0.250,0.250
20250327,1.000,0.200,0.200,0.800,0.400,0.600,0.600,0.600,0.200,0.400
20250328,1.000,0.333,0.167,0.667,0.333,0.667,0.500,0.500,0.333,0.500
20250329,1.000,0.429,0.286,0.571,0.286,0.571,0.429,0.571,0.286,0.571
20250330,1.000,0.375,0.286,0.625,0.375,0.571,0.429,0.625,0.250,0.500
20250402,0.875,0.333,0.375,0.625,0.333,0.625,0.429,0.667,0.333,0.444
20250403,0.889,0.300,0.444,0.625,0.400,0.556,0.429,0.600,0.400,0.400
20250404,0.900,0.273,0.400,0.667,0.364,0.500,0.375,0.636,0.455,0.455
20250405,0.900,0.333,0.455,0.667,0.364,0.500,0.444,0.583,0.417,0.417
20250406,0.909,0.308,0.417,0.700,0.333,0.455,0.500,0.615,0.462,0.385
20250408,0.917,0.286,0.385,0.636,0.385,0.500,0.455,0.643,0.500,0.357
20250409,0.846,0.333,0.357,0.667,0.429,0.538,0.417,0.600,0.467,0.400
20250410,0.857,0.375,0.400,0.615,0.400,0.500,0.462,0.625,0.438,0.375
20250411,0.867,0.412,0.438,0.643,0.375,0.533,0.429,0.588,0.412,0.353
20250412,0.875,0.389,0.471,0.643,0.375,0.533,0.400,0.588,0.389,0.389
20250413,0.824,0.421,0.444,0.600,0.412,0.562,0.438,0.556,0.421,0.368
20250415,0.833,0.450,0.474,0.562,0.444,0.529,0.438,0.526,0.421,0.350
20250416,0.842,0.476,0.500,0.529,0.421,0.556,0.438,0.500,0.421,0.333
20250417,0.800,0.500,0.524,0.500,0.450,0.526,0.438,0.524,0.421,0.318
20250418,0.810,0.522,0.545,0.474,0.429,0.500,0.412,0.500,0.450,0.348
20250419,0.818,0.542,0.522,0.450,0.455,0.524,0.389,0.522,0.429,0.333
20250420,0.783,0.560,0.542,0.476,0.478,0.545,0.368,0.500,0.409,0.320
20250422,0.750,0.560,0.542,0.455,0.478,0.565,0.400,0.500,0.391,0.346
20250423,0.760,0.577,0.520,0.478,0.458,0.542,0.381,0.520,0.417,0.333
20250424,0.731,0.556,0.538,0.500,0.440,0.520,0.409,0.538,0.440,0.321
20250425,0.741,0.536,0.556,0.520,0.423,0.538,0.391,0.556,0.423,0.310
20250426,0.714,0.552,0.571,0.500,0.444,0.519,0.375,0.571,0.407,0.333
20250427,0.690,0.567,0.552,0.481,0.464,0.500,0.360,0.586,0.429,0.355
20250429,0.667,0.581,0.567,0.464,0.483,0.517,0.346,0.600,0.414,0.344
20250430,0.645,0.594,0.581,0.464,0.467,0.533,0.370,0.600,0.400,0.333
20250501,0.645,0.594,0.594,0.483,0.467,0.533,0.370,0.581,0.400,0.324
20250502,0.625,0.606,0.606,0.500,0.452,0.516,0.357,0.594,0.387,0.343
20250503,0.636,0.606,0.588,0.484,0.452,0.531,0.379,0.576,0.406,0.333
20250504,0.647,0.618,0.571,0.469,0.438,0.545,0.400,0.559,0.424,0.324
20250505,0.629,0.629,0.556,0.485,0.455,0.529,0.419,0.543,0.441,0.316
20250506,0.639,0.639,0.568,0.471,0.471,0.514,0.438,0.528,0.429,0.308
20250507,0.622,0.649,0.579,0.457,0.457,0.500,0.455,0.514,0.444,0.325
20250509,0.622,0.658,0.579,0.457,0.457,0.500,0.455,0.514,0.444,0.317
20250510,0.641,0.667,0.590,0.444,0.472,0.486,0.455,0.487,0.444,0.310
20250511,0.650,0.675,0.600,0.474,0.447,0.474,0.486,0.475,0.421,0.302
20250513,0.659,0.659,0.585,0.487,0.462,0.462,0.472,0.488,0.436,0.295
20250514,0.667,0.643,0.595,0.475,0.450,0.475,0.486,0.476,0.450,0.289
20250515,0.674,0.628,0.581,0.488,0.463,0.463,0.474,0.488,0.463,0.283
20250517,0.644,0.622,0.600,0.488,0.488,0.488,0.475,0.467,0.442,0.292
20250518,0.652,0.609,0.609,0.500,0.500,0.477,0.488,0.457,0.432,0.286
20250520,0.660,0.617,0.596,0.511,0.489,0.489,0.476,0.468,0.422,0.280
20250521,0.660,0.604,0.596,0.522,0.478,0.500,0.488,0.479,0.413,0.275
20250522,0.646,0.592,0.604,0.511,0.489,0.489,0.500,0.490,0.426,0.269
20250523,0.653,0.600,0.592,0.500,0.500,0.500,0.500,0.480,0.426,0.264
20250524,0.640,0.588,0.600,0.510,0.490,0.510,0.511,0.490,0.417,0.259
20250525,0.647,0.596,0.588,0.500,0.480,0.520,0.500,0.500,0.429,0.255
20250527,0.654,0.585,0.577,0.500,0.490,0.529,0.500,0.509,0.420,0.250
20250528,0.642,0.593,0.577,0.510,0.500,0.519,0.489,0.509,0.431,0.246
20250529,0.648,0.582,0.566,0.519,0.500,0.528,0.479,0.519,0.423,0.246
20250530,0.636,0.589,0.574,0.509,0.491,0.537,0.469,0.527,0.434,0.241
20250531,0.625,0.596,0.564,0.519,0.481,0.545,0.460,0.536,0.426,0.254
20250601,0.614,0.586,0.554,0.527,0.491,0.536,0.471,0.544,0.418,0.267
20250603,0.621,0.593,0.561,0.536,0.500,0.526,0.462,0.534,0.411,0.262
20250604,0.610,0.600,0.552,0.544,0.509,0.517,0.472,0.525,0.404,0.274
20250605,0.617,0.590,0.542,0.534,0.500,0.525,0.463,0.533,0.414,0.286
20250606,0.607,0.581,0.533,0.525,0.508,0.533,0.455,0.541,0.424,0.297
20250607,0.597,0.587,0.541,0.517,0.500,0.541,0.464,0.532,0.417,0.308
20250608,0.603,0.578,0.548,0.525,0.508,0.532,0.456,0.540,0.410,0.303
20250610,0.594,0.585,0.540,0.532,0.500,0.540,0.456,0.547,0.403,0.303
20250611,0.600,0.591,0.547,0.524,0.508,0.531,0.466,0.538,0.397,0.299
20250612,0.606,0.597,0.554,0.516,0.500,0.523,0.475,0.545,0.391,0.294
20250613,0.606,0.597,0.554,0.516,0.492,0.523,0.483,0.545,0.391,0.294
20250614,0.606,0.597,0.561,0.508,0.500,0.530,0.475,0.537,0.400,0.290
20250615,0.597,0.603,0.552,0.515,0.507,0.537,0.468,0.529,0.409,0.286
20250617,0.588,0.609,0.544,0.522,0.515,0.529,0.476,0.536,0.403,0.282
20250618,0.594,0.600,0.551,0.515,0.522,0.522,0.469,0.543,0.397,0.292
20250619,0.586,0.592,0.557,0.522,0.529,0.514,0.477,0.535,0.406,0.288
20250620,0.586,0.592,0.563,0.522,0.529,0.514,0.477,0.528,0.406,0.288
20250621,0.577,0.592,0.563,0.522,0.529,0.521,0.470,0.528,0.414,0.288
20250622,0.583,0.597,0.569,0.514,0.535,0.514,0.478,0.521,0.408,0.284
20250624,0.575,0.597,0.569,0.507,0.528,0.521,0.478,0.521,0.417,0.293
20250625,0.575,0.589,0.562,0.507,0.534,0.521,0.485,0.527,0.417,0.289
20250626,0.581,0.595,0.568,0.514,0.534,0.514,0.478,0.520,0.411,0.289
20250627,0.587,0.587,0.560,0.521,0.527,0.520,0.486,0.513,0.405,0.299
20250628,0.579,0.592,0.553,0.514,0.533,0.526,0.493,0.506,0.400,0.308
20250629,0.571,0.584,0.558,0.520,0.539,0.519,0.486,0.500,0.408,0.316
20250701,0.577,0.590,0.551,0.513,0.545,0.513,0.479,0.506,0.403,0.325
20250702,0.570,0.582,0.557,0.519,0.538,0.519,0.486,0.500,0.410,0.321
20250703,0.562,0.582,0.562,0.513,0.544,0.525,0.486,0.506,0.405,0.317
20250704,0.556,0.588,0.556,0.519,0.550,0.531,0.480,0.512,0.400,0.313
20250705,0.549,0.593,0.549,0.525,0.556,0.524,0.474,0.518,0.407,0.310
20250706,0.554,0.598,0.554,0.519,0.549,0.518,0.481,0.512,0.415,0.306
20250708,0.560,0.602,0.548,0.524,0.542,0.512,0.487,0.506,0.422,0.302
20250709,0.565,0.607,0.553,0.518,0.536,0.518,0.494,0.500,0.417,0.299
20250710,0.558,0.612,0.547,0.512,0.529,0.523,0.500,0.494,0.424,0.307
20250718,0.563,0.616,0.540,0.512,0.529,0.517,0.500,0.494,0.424,0.307
20250719,0.557,0.621,0.545,0.506,0.529,0.511,0.500,0.494,0.430,0.307
20250720,0.562,0.625,0.539,0.500,0.535,0.506,0.494,0.500,0.437,0.303
20250722,0.567,0.629,0.533,0.494,0.529,0.511,0.488,0.506,0.432,0.311
20250723,0.571,0.622,0.538,0.489,0.523,0.516,0.482,0.511,0.438,0.308
20250724,0.576,0.622,0.543,0.494,0.517,0.522,0.476,0.505,0.438,0.304
20250725,0.581,0.626,0.548,0.489,0.511,0.527,0.482,0.500,0.433,0.301
20250726,0.585,0.620,0.553,0.495,0.505,0.521,0.488,0.505,0.429,0.298
20250727,0.579,0.613,0.558,0.500,0.500,0.526,0.494,0.500,0.435,0.295
20250729,0.583,0.606,0.562,0.505,0.495,0.521,0.489,0.505,0.441,0.292
20250730,0.588,0.611,0.557,0.505,0.495,0.515,0.494,0.500,0.441,0.292
20250731,0.592,0.615,0.561,0.511,0.500,0.510,0.489,0.495,0.436,0.289
20250801,0.596,0.608,0.556,0.516,0.505,0.505,0.495,0.490,0.432,0.296
20250802,0.600,0.608,0.560,0.510,0.505,0.500,0.500,0.485,0.438,0.293
20250803,0.604,0.608,0.564,0.515,0.505,0.500,0.500,0.480,0.433,0.290
20250805,0.608,0.602,0.559,0.510,0.510,0.505,0.495,0.485,0.429,0.297
20250806,0.602,0.606,0.563,0.515,0.505,0.500,0.489,0.480,0.434,0.304
20250807,0.606,0.600,0.558,0.510,0.510,0.505,0.484,0.485,0.430,0.311
20250808,0.610,0.594,0.552,0.515,0.505,0.500,0.490,0.490,0.436,0.308
20250809,0.613,0.588,0.552,0.515,0.505,0.505,0.490,0.486,0.441,0.305
20250810,0.607,0.592,0.547,0.520,0.500,0.509,0.495,0.481,0.437,0.311
20250812,0.611,0.596,0.542,0.524,0.505,0.505,0.500,0.477,0.433,0.308
20250813,0.611,0.600,0.537,0.524,0.510,0.505,0.500,0.472,0.433,0.308
20250814,0.611,0.600,0.537,0.519,0.510,0.505,0.500,0.472,0.433,0.315
