games,LG,한화,롯데,SSG,KIA,KT,NC,삼성,두산,키움
1,1.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000
2,1.000,0.500,0.000,1.000,0.500,0.500,0.500,1.000,0.000,0.000
3,1.000,0.333,0.333,0.667,0.667,0.667,0.333,1.000,0.000,0.000
4,1.000,0.250,0.250,0.750,0.500,0.500,0.500,0.750,0.250,0.250
5,1.000,0.200,0.200,0.800,0.400,0.600,0.600,0.600,0.200,0.400
6,1.000,0.333,0.167,0.667,0.333,0.667,0.500,0.500,0.333,0.500
7,1.000,0.429,0.286,0.571,0.286,0.571,0.429,0.571,0.286,0.571
8,0.875,0.375,0.286,0.625,0.375,0.571,0.375,0.625,0.250,0.500
9,0.889,0.333,0.375,0.667,0.333,0.625,0.444,0.667,0.333,0.444
10,0.900,0.300,0.444,0.700,0.400,0.556,0.500,0.600,0.400,0.400
11,0.909,0.273,0.400,0.636,0.364,0.500,0.455,0.636,0.455,0.455
12,0.917,0.333,0.455,0.667,0.333,0.455,0.417,0.583,0.417,0.417
13,0.846,0.308,0.417,0.615,0.385,0.500,0.462,0.615,0.462,0.385
14,0.857,0.286,0.385,0.643,0.429,0.538,0.429,0.643,0.500,0.357
15,0.867,0.333,0.357,0.600,0.400,0.500,0.400,0.600,0.467,0.400
16,0.875,0.375,0.400,0.562,0.375,0.533,0.438,0.625,0.438,0.375
17,0.824,0.412,0.438,0.529,0.412,0.562,0.412,0.588,0.412,0.353
18,0.833,0.389,0.471,0.500,0.444,0.529,0.389,0.556,0.389,0.389
19,0.842,0.421,0.444,0.474,0.421,0.556,0.368,0.526,0.421,0.368
20,0.800,0.450,0.474,0.450,0.450,0.526,0.400,0.500,0.450,0.350
21,0.810,0.476,0.500,0.476,0.429,0.500,0.381,0.524,0.429,0.333
22,0.818,0.500,0.524,0.455,0.455,0.524,0.409,0.500,0.409,0.318
23,0.783,0.522,0.545,0.478,0.478,0.545,0.391,0.522,0.391,0.348
24,0.750,0.542,0.522,0.500,0.458,0.565,0.375,0.500,0.417,0.333
25,0.760,0.560,0.542,0.520,0.440,0.542,0.360,0.520,0.440,0.320
26,0.731,0.577,0.520,0.500,0.423,0.520,0.346,0.538,0.423,0.346
27,0.741,0.556,0.538,0.481,0.444,0.538,0.370,0.556,0.407,0.333
28,0.714,0.536,0.556,0.464,0.464,0.519,0.357,0.571,0.429,0.321
29,0.690,0.552,0.571,0.464,0.483,0.500,0.379,0.586,0.414,0.310
30,0.667,0.567,0.552,0.483,0.467,0.517,0.400,0.600,0.400,0.333
31,0.645,0.581,0.567,0.500,0.452,0.533,0.419,0.600,0.400,0.355
32,0.625,0.594,0.581,0.484,0.438,0.533,0.438,0.581,0.387,0.344
33,0.636,0.606,0.594,0.469,0.455,0.516,0.455,0.594,0.406,0.333
34,0.647,0.618,0.606,0.485,0.471,0.531,0.455,0.576,0.424,0.324
35,0.629,0.629,0.588,0.471,0.457,0.545,0.471,0.559,0.441,0.343
36,0.639,0.639,0.571,0.457,0.472,0.529,0.486,0.543,0.429,0.333
37,0.622,0.649,0.556,0.444,0.459,0.514,0.472,0.528,0.444,0.324
38,0.632,0.658,0.568,0.459,0.447,0.500,0.486,0.514,0.444,0.316
39,0.641,0.667,0.579,0.474,0.462,0.486,0.474,0.500,0.432,0.308
40,0.650,0.675,0.590,0.487,0.450,0.486,0.487,0.487,0.421,0.325
41,0.659,0.659,0.590,0.475,0.463,0.474,0.475,0.475,0.436,0.317
42,0.667,0.643,0.600,0.488,0.476,0.462,0.488,0.488,0.450,0.310
43,0.674,0.628,0.585,0.476,0.488,0.475,0.476,0.476,0.463,0.302
44,0.659,0.636,0.595,0.488,0.500,0.463,0.488,0.488,0.452,0.295
45,0.644,0.622,0.581,0.500,0.489,0.476,0.500,0.477,0.442,0.289
46,0.652,0.609,0.591,0.511,0.478,0.488,0.500,0.467,0.432,0.283
47,0.660,0.617,0.600,0.522,0.489,0.477,0.511,0.457,0.422,0.277
48,0.660,0.604,0.609,0.511,0.500,0.489,0.500,0.468,0.413,0.292
49,0.646,0.592,0.596,0.500,0.490,0.500,0.500,0.479,0.426,0.286
50,0.653,0.600,0.596,0.510,0.480,0.489,0.489,0.490,0.426,0.280
51,0.640,0.588,0.604,0.500,0.490,0.500,0.479,0.480,0.417,0.275
52,0.647,0.596,0.592,0.500,0.500,0.510,0.469,0.490,0.429,0.269
53,0.654,0.585,0.600,0.510,0.500,0.520,0.460,0.500,0.420,0.264
54,0.642,0.593,0.588,0.519,0.491,0.529,0.471,0.509,0.431,0.259
55,0.648,0.582,0.577,0.509,0.481,0.519,0.462,0.519,0.423,0.255
56,0.636,0.589,0.566,0.519,0.491,0.528,0.472,0.527,0.434,0.250
57,0.625,0.596,0.574,0.527,0.500,0.537,0.463,0.536,0.426,0.246
58,0.614,0.586,0.564,0.536,0.509,0.545,0.455,0.544,0.418,0.246
59,0.621,0.593,0.554,0.544,0.500,0.536,0.464,0.534,0.411,0.241
60,0.610,0.600,0.561,0.534,0.508,0.526,0.456,0.525,0.404,0.254
61,0.617,0.590,0.552,0.525,0.500,0.517,0.456,0.533,0.414,0.267
62,0.607,0.581,0.542,0.517,0.508,0.525,0.466,0.541,0.424,0.262
63,0.597,0.587,0.533,0.525,0.500,0.533,0.475,0.532,0.417,0.274
64,0.603,0.578,0.541,0.532,0.508,0.541,0.483,0.540,0.410,0.286
65,0.594,0.585,0.548,0.524,0.500,0.532,0.475,0.547,0.403,0.297
66,0.600,0.591,0.540,0.516,0.492,0.540,0.468,0.538,0.397,0.308
67,0.606,0.597,0.547,0.508,0.500,0.531,0.476,0.545,0.391,0.303
68,0.606,0.597,0.554,0.515,0.507,0.523,0.469,0.537,0.400,0.303
69,0.597,0.603,0.561,0.522,0.515,0.530,0.477,0.529,0.409,0.299
70,0.588,0.609,0.552,0.515,0.522,0.537,0.470,0.536,0.403,0.294
71,0.594,0.600,0.544,0.522,0.529,0.529,0.478,0.543,0.397,0.290
72,0.586,0.592,0.551,0.522,0.529,0.522,0.485,0.535,0.406,0.286
73,0.577,0.597,0.557,0.514,0.535,0.514,0.478,0.528,0.414,0.282
74,0.583,0.589,0.563,0.507,0.528,0.521,0.486,0.521,0.408,0.292
75,0.575,0.595,0.569,0.514,0.534,0.514,0.493,0.527,0.417,0.288
76,0.581,0.587,0.562,0.521,0.534,0.521,0.486,0.520,0.411,0.284
77,0.587,0.592,0.568,0.514,0.527,0.514,0.479,0.513,0.405,0.293
78,0.579,0.584,0.560,0.520,0.533,0.520,0.486,0.506,0.400,0.289
79,0.571,0.590,0.553,0.513,0.539,0.526,0.486,0.500,0.408,0.289
80,0.577,0.582,0.558,0.519,0.545,0.519,0.480,0.506,0.403,0.299
81,0.570,0.582,0.551,0.513,0.538,0.513,0.474,0.500,0.410,0.308
82,0.562,0.588,0.557,0.519,0.544,0.519,0.481,0.506,0.405,0.316
83,0.556,0.593,0.562,0.525,0.550,0.525,0.487,0.512,0.400,0.325
84,0.549,0.598,0.556,0.519,0.556,0.531,0.494,0.518,0.407,0.321
85,0.554,0.602,0.549,0.524,0.549,0.524,0.500,0.512,0.415,0.317
86,0.560,0.607,0.554,0.518,0.542,0.518,0.494,0.506,0.422,0.313
87,0.565,0.612,0.548,0.512,0.536,0.512,0.488,0.500,0.417,0.310
88,0.558,0.616,0.553,0.506,0.529,0.518,0.482,0.494,0.424,0.306
89,0.563,0.621,0.547,0.500,0.535,0.523,0.476,0.500,0.430,0.302
90,0.557,0.625,0.540,0.494,0.529,0.517,0.482,0.506,0.437,0.299
91,0.562,0.629,0.545,0.489,0.523,0.511,0.488,0.511,0.432,0.307
92,0.567,0.622,0.539,0.494,0.517,0.506,0.494,0.505,0.438,0.303
93,0.571,0.622,0.533,0.489,0.511,0.511,0.489,0.500,0.438,0.311
94,0.576,0.626,0.538,0.495,0.505,0.516,0.494,0.505,0.433,0.308
95,0.581,0.620,0.543,0.500,0.500,0.522,0.489,0.500,0.429,0.304
96,0.585,0.613,0.548,0.505,0.495,0.527,0.495,0.505,0.435,0.301
97,0.579,0.606,0.553,0.505,0.495,0.521,0.500,0.500,0.441,0.298
98,0.583,0.611,0.558,0.511,0.500,0.526,0.500,0.495,0.441,0.295
99,0.588,0.615,0.562,0.516,0.505,0.521,0.495,0.490,0.436,0.292
100,0.592,0.608,0.557,0.510,0.510,0.515,0.489,0.485,0.432,0.292
101,0.596,0.602,0.561,0.515,0.505,0.510,0.484,0.480,0.438,0.289
102,0.600,0.606,0.556,0.510,0.510,0.505,0.490,0.485,0.433,0.296
103,0.604,0.600,0.560,0.515,0.505,0.500,0.495,0.480,0.429,0.293
104,0.608,0.594,0.564,0.510,0.500,0.500,0.500,0.485,0.434,0.290
105,0.602,0.588,0.559,0.515,0.505,0.505,,0.490,0.430,0.297
106,0.606,0.592,0.563,0.520,0.510,0.500,,0.486,0.436,0.304
107,0.610,0.596,0.558,0.524,,0.505,,0.481,0.441,0.311
108,0.613,0.600,0.552,0.519,,0.500,,0.477,0.437,0.308
109,0.607,,0.547,,,0.505,,0.472,0.433,0.305
110,0.611,,0.542,,,0.509,,,,0.311
111,,,0.537,,,0.505,,,,0.308
112,,,,,,,,,,0.315
