games,KT,삼성,LG,KIA,SSG,두산,한화,키움,NC,롯데
1,1,-1,-1,-1,1,-1,1,-1,1,1
2,2,-2,-2,-2,2,0,2,-2,0,2
3,3,-2,-3,-1,3,0,1,-3,1,1
4,4,-1,-2,-2,2,-1,0,-2,2,0
5,5,0,-1,-3,3,-2,-1,-3,3,-1
6,4,1,-2,-4,4,-3,0,-2,4,-2
7,3,2,-1,-5,5,-4,1,-3,5,-3
8,4,1,0,-4,6,-3,0,-4,4,-4
9,5,2,1,-5,5,-4,1,-3,3,-5
10,4,1,2,-4,4,-3,2,-4,2,-4
11,3,2,3,-3,3,-2,1,-5,1,-3
12,4,3,4,-2,2,-3,0,-6,0,-2
13,5,4,5,-1,1,-4,-1,-5,-1,-3
14,4,5,6,0,0,-3,-2,-6,0,-4
15,5,6,5,1,1,-4,-3,-7,-1,-3
16,6,7,6,2,2,-5,-4,-8,-2,-4
17,7,8,5,3,3,-6,-3,-9,-3,-5
18,8,7,6,2,2,-5,-2,-10,-2,-6
19,7,6,7,1,3,-4,-3,-9,-3,-7
20,8,5,8,0,4,-3,-4,-8,-4,-8
21,9,4,7,-1,5,-2,-3,-7,-3,-7
22,10,3,8,-2,6,-3,-4,-8,-2,-8
23,9,2,9,-1,7,-4,-3,-7,-3,-9
24,8,1,8,0,6,-5,-4,-6,-2,-9
25,9,2,7,0,5,-4,-3,-5,-1,-8
26,10,1,6,-1,6,-5,-4,-6,-2,-9
27,11,0,7,0,7,-4,-5,-5,-1,-8
28,10,1,8,-1,6,-3,-6,-6,-2,-7
29,11,0,9,-2,5,-2,-5,-7,-3,-6
30,10,1,8,-1,4,-3,-6,-6,-2,-5
31,11,2,9,-2,4,-2,-7,-7,-2,-6
32,12,3,10,-1,5,-3,-6,-8,-3,-5
33,11,4,9,-2,4,-4,-5,-9,-2,-6
34,12,5,10,-3,5,-3,-6,-10,-3,-7
35,12,6,9,-2,4,-4,-5,-11,-4,-6
36,11,7,8,-1,3,-3,-4,-11,-5,-7
37,10,8,7,-2,4,-2,-3,-10,-4,-6
38,11,7,8,-3,3,-1,-4,-11,-5,-7
39,10,8,7,-2,4,-2,-3,-10,-4,-6
40,9,7,8,-1,3,-3,-2,-11,-5,-7
41,8,8,7,0,4,-4,-1,-10,-4,-8
42,9,7,8,-1,3,-3,-2,-11,-5,-7
43,8,8,7,0,2,-2,-3,-10,-6,
44,,,,1,1,-1,,-9,-7,
45,,,,,0,0,,-8,,
46,,,,,,,,-7,,
