date,KT,삼성,LG,KIA,SSG,두산,한화,키움,NC,롯데
20260328,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,1.000
20260329,1.000,0.000,0.000,0.000,1.000,0.500,1.000,0.000,0.500,1.000
20260331,1.000,0.000,0.000,0.333,1.000,0.500,0.667,0.000,0.667,0.667
20260401,1.000,0.333,0.250,0.250,0.750,0.333,0.500,0.250,0.750,0.500
20260402,1.000,0.500,0.400,0.200,0.800,0.250,0.400,0.200,0.800,0.400
20260403,0.833,0.600,0.333,0.167,0.833,0.200,0.500,0.333,0.833,0.333
20260404,0.714,0.667,0.429,0.143,0.857,0.167,0.571,0.286,0.857,0.286
20260405,0.750,0.571,0.500,0.250,0.875,0.286,0.500,0.250,0.750,0.250
20260407,0.778,0.625,0.556,0.222,0.778,0.250,0.556,0.333,0.667,0.222
20260408,0.700,0.556,0.600,0.300,0.700,0.333,0.600,0.300,0.600,0.300
20260410,0.636,0.600,0.636,0.364,0.636,0.400,0.545,0.273,0.545,0.364
20260411,0.667,0.636,0.667,0.417,0.583,0.364,0.500,0.250,0.500,0.417
20260412,0.692,0.667,0.692,0.462,0.538,0.333,0.462,0.308,0.462,0.385
20260414,0.643,0.692,0.714,0.500,0.500,0.385,0.429,0.286,0.500,0.357
20260415,0.667,0.714,0.667,0.533,0.533,0.357,0.400,0.267,0.467,0.400
20260416,0.688,0.733,0.688,0.562,0.562,0.333,0.375,0.250,0.438,0.375
20260417,0.706,0.733,0.688,0.588,0.562,0.312,0.375,0.235,0.438,0.375
20260418,0.722,0.750,0.647,0.556,0.588,0.353,0.412,0.222,0.412,0.353
20260419,0.684,0.706,0.667,0.526,0.556,0.389,0.444,0.263,0.444,0.333
20260421,0.700,0.667,0.684,0.500,0.579,0.421,0.421,0.300,0.421,0.316
20260422,0.714,0.632,0.700,0.476,0.600,0.450,0.400,0.333,0.400,0.300
20260423,0.727,0.600,0.667,0.455,0.619,0.429,0.429,0.318,0.429,0.333
20260424,0.696,0.571,0.682,0.478,0.636,0.409,0.409,0.348,0.455,0.318
20260425,0.667,0.545,0.696,0.500,0.652,0.391,0.435,0.375,0.435,0.304
20260426,0.680,0.522,0.667,0.500,0.625,0.417,0.417,0.400,0.458,0.304
20260428,0.692,0.542,0.640,0.480,0.600,0.400,0.440,0.385,0.480,0.333
20260429,0.704,0.520,0.615,0.500,0.615,0.423,0.423,0.407,0.462,0.320
20260430,0.679,0.500,0.630,0.481,0.630,0.444,0.407,0.393,0.481,0.346
20260501,0.690,0.519,0.643,0.464,0.607,0.464,0.393,0.379,0.464,0.370
20260502,0.667,0.500,0.655,0.483,0.586,0.448,0.414,0.400,0.448,0.393
20260503,0.677,0.517,0.633,0.467,0.567,0.467,0.400,0.387,0.467,0.414
20260505,0.688,0.533,0.645,0.484,0.567,0.452,0.387,0.375,0.467,0.400
20260506,0.667,0.548,0.656,0.469,0.581,0.438,0.406,0.364,0.452,0.419
20260507,0.667,0.562,0.636,0.455,0.562,0.455,0.424,0.353,0.469,0.419
20260508,0.676,0.576,0.647,0.471,0.576,0.441,0.412,0.343,0.455,0.406
20260509,0.676,0.588,0.629,0.486,0.559,0.457,0.429,0.343,0.441,0.394
20260510,0.657,0.600,0.611,0.472,0.543,0.472,0.444,0.361,0.429,0.412
20260512,0.639,0.611,0.595,0.459,0.556,0.486,0.459,0.351,0.444,0.400
20260513,0.649,0.595,0.605,0.474,0.541,0.474,0.447,0.368,0.432,0.417
20260514,0.632,0.605,0.590,0.487,0.553,0.462,0.462,0.359,0.447,0.405
20260515,0.615,0.590,0.600,0.500,0.538,0.450,0.475,0.375,0.436,0.421
20260516,0.600,0.600,0.585,0.488,0.550,0.463,0.488,0.366,0.450,0.410
20260517,0.610,0.585,0.595,0.500,0.537,0.476,0.476,0.381,0.439,0.400
20260519,0.595,0.595,0.581,0.512,0.524,0.488,0.465,0.395,0.429,0.415
20260520,0.595,0.595,0.581,0.512,0.512,0.488,0.465,0.409,0.429,0.415
20260521,0.595,0.595,0.581,0.512,0.500,0.500,0.465,0.422,0.419,0.415
