games,KT,삼성,LG,KIA,SSG,두산,한화,키움,NC,롯데
1,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,1.000
2,1.000,0.000,0.000,0.000,1.000,0.500,1.000,0.000,0.500,1.000
3,1.000,0.000,0.000,0.333,1.000,0.500,0.667,0.000,0.667,0.667
4,1.000,0.333,0.250,0.250,0.750,0.333,0.500,0.250,0.750,0.500
5,1.000,0.500,0.400,0.200,0.800,0.250,0.400,0.200,0.800,0.400
6,0.833,0.600,0.333,0.167,0.833,0.200,0.500,0.333,0.833,0.333
7,0.714,0.667,0.429,0.143,0.857,0.167,0.571,0.286,0.857,0.286
8,0.750,0.571,0.500,0.250,0.875,0.286,0.500,0.250,0.750,0.250
9,0.778,0.625,0.556,0.222,0.778,0.250,0.556,0.333,0.667,0.222
10,0.700,0.556,0.600,0.300,0.700,0.333,0.600,0.300,0.600,0.300
11,0.636,0.600,0.636,0.364,0.636,0.400,0.545,0.273,0.545,0.364
12,0.667,0.636,0.667,0.417,0.583,0.364,0.500,0.250,0.500,0.417
13,0.692,0.667,0.692,0.462,0.538,0.333,0.462,0.308,0.462,0.385
14,0.643,0.692,0.714,0.500,0.500,0.385,0.429,0.286,0.500,0.357
15,0.667,0.714,0.667,0.533,0.533,0.357,0.400,0.267,0.467,0.400
16,0.688,0.733,0.688,0.562,0.562,0.333,0.375,0.250,0.438,0.375
17,0.706,0.750,0.647,0.588,0.588,0.312,0.412,0.235,0.412,0.353
18,0.722,0.706,0.667,0.556,0.556,0.353,0.444,0.222,0.444,0.333
19,0.684,0.667,0.684,0.526,0.579,0.389,0.421,0.263,0.421,0.316
20,0.700,0.632,0.700,0.500,0.600,0.421,0.400,0.300,0.400,0.300
21,0.714,0.600,0.667,0.476,0.619,0.450,0.429,0.333,0.429,0.333
22,0.727,0.571,0.682,0.455,0.636,0.429,0.409,0.318,0.455,0.318
23,0.696,0.545,0.696,0.478,0.652,0.409,0.435,0.348,0.435,0.304
24,0.667,0.522,0.667,0.500,0.625,0.391,0.417,0.375,0.458,0.304
25,0.680,0.542,0.640,0.500,0.600,0.417,0.440,0.400,0.480,0.333
26,0.692,0.520,0.615,0.480,0.615,0.400,0.423,0.385,0.462,0.320
27,0.704,0.500,0.630,0.500,0.630,0.423,0.407,0.407,0.481,0.346
28,0.679,0.519,0.643,0.481,0.607,0.444,0.393,0.393,0.464,0.370
29,0.690,0.500,0.655,0.464,0.586,0.464,0.414,0.379,0.448,0.393
30,0.667,0.517,0.633,0.483,0.567,0.448,0.400,0.400,0.467,0.414
31,0.677,0.533,0.645,0.467,0.567,0.467,0.387,0.387,0.467,0.400
32,0.688,0.548,0.656,0.484,0.581,0.452,0.406,0.375,0.452,0.419
33,0.667,0.562,0.636,0.469,0.562,0.438,0.424,0.364,0.469,0.406
34,0.676,0.576,0.647,0.455,0.576,0.455,0.412,0.353,0.455,0.394
35,0.676,0.588,0.629,0.471,0.559,0.441,0.429,0.343,0.441,0.412
36,0.657,0.600,0.611,0.486,0.543,0.457,0.444,0.343,0.429,0.400
37,0.639,0.611,0.595,0.472,0.556,0.472,0.459,0.361,0.444,0.417
38,0.649,0.595,0.605,0.459,0.541,0.486,0.447,0.351,0.432,0.405
39,0.632,0.605,0.590,0.474,0.553,0.474,0.462,0.368,0.447,0.421
40,0.615,0.590,0.600,0.487,0.538,0.462,0.475,0.359,0.436,0.410
41,0.600,0.600,0.585,0.500,0.550,0.450,0.488,0.375,0.450,0.400
42,0.610,0.585,0.595,0.488,0.537,0.463,0.476,0.366,0.439,0.415
43,0.595,0.595,0.581,0.500,0.524,0.476,0.465,0.381,0.429,
44,,,,0.512,0.512,0.488,,0.395,0.419,
45,,,,,0.500,0.500,,0.409,,
46,,,,,,,,0.422,,
